cell_id,district,crime_count,severity_mean,lat_center,lon_center,anomaly_score,is_anomaly
0_0,bengaluru urban,510,3.82186814566789,12.969611633099376,77.59538938016453,0.5889,1
1_0,bangalore,11,2.816635319256157,13.012366499652142,77.53901578773903,0.3867,0
2_0,bangalore,10,4.075793759734148,12.990619151832314,77.53130794434877,0.4254,0
3_0,bangalore,12,3.592104087178092,13.037923226537552,77.59278537198001,0.4075,0
4_0,bangalore,11,1.7825320436629486,12.961381454398802,77.67177742649235,0.4741,0
5_0,bangalore,11,4.426867054910268,12.9053982366954,77.60165842463385,0.4291,0
6_0,bengaluru urban,11,3.783419105971059,12.948906063995407,77.52212166768717,0.3701,0
7_0,bengaluru urban,11,3.8581929158308617,12.90033539135781,77.6452156078283,0.3901,0
8_0,bangalore rural,12,1.8843408980266376,13.161261610190977,77.71134327869193,0.5198,0
9_0,bangalore rural,11,2.8511578136867013,13.162353232182763,77.690809780653,0.4324,0
10_0,mysore,11,2.612394072697744,12.272456493023547,76.64146549762773,0.5769,0
11_0,mysuru,11,4.280294966545806,12.311366535649638,76.61331155508837,0.5736,0
12_0,mysore,11,3.4315953602419937,12.297238812781687,76.64534761842378,0.53,0
13_0,tumkur,11,3.96828483981249,13.326181200987056,77.08003995509424,0.5292,0
